@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2017/02/13 21:09:12:794',1,209.240585,365.542847,41.414791,0,50,?,?,?
2,'2017/02/13 21:09:13:083',1,211.204208,365.030701,39.634762,0,50,?,?,?
3,'2017/02/13 21:09:13:171',1,210.686127,364.036835,36.693516,0,50,?,?,?
4,'2017/02/13 21:09:13:424',1,211.970215,363.326355,32.115555,0,50,?,?,?
5,'2017/02/13 21:09:13:699',1,222.243668,361.516113,28.478008,0,50,?,?,?
6,'2017/02/13 21:09:13:772',1,231.948044,360.710999,30.166285,0,50,?,?,?
7,'2017/02/13 21:09:13:995',1,233.777893,361.108887,30.699532,0,50,?,?,?
8,'2017/02/13 21:09:14:307',1,244.082809,355.895325,37.84798,0,50,?,?,?
9,'2017/02/13 21:09:14:371',1,243.140656,354.189728,40.368057,0,50,?,?,?
10,'2017/02/13 21:09:14:425',1,241.331711,353.62558,41.352737,0,50,?,?,?
11,'2017/02/13 21:09:14:603',1,235.787796,352.339539,43.176907,0,50,?,?,?
12,'2017/02/13 21:09:14:657',1,231.980759,351.431854,44.135818,0,50,?,?,?
13,'2017/02/13 21:09:14:854',1,217.928284,350.261292,46.455269,0,50,?,?,?
14,'2017/02/13 21:09:14:910',1,213.585617,350.162964,47.368328,0,50,?,?,?
15,'2017/02/13 21:09:15:191',1,204.517929,349.112976,51.255169,0,50,?,?,?
16,'2017/02/13 21:09:15:239',1,203.68219,349.141754,51.541489,0,50,?,?,?
17,'2017/02/13 21:09:15:303',1,202.575745,349.528625,51.95269,0,50,?,?,?
18,'2017/02/13 21:09:15:776',1,195.911194,348.485535,54.077579,0,50,?,?,?
19,'2017/02/13 21:09:16:020',1,195.799347,348.43277,54.177212,0,50,?,?,?
20,'2017/02/13 21:09:16:131',1,191.181534,341.928558,47.944683,0,50,?,?,?
21,'2017/02/13 21:09:16:264',1,194.305389,338.994171,42.852222,0,50,?,?,?
22,'2017/02/13 21:09:16:366',1,196.924759,339.34613,40.61475,0,50,?,?,?
23,'2017/02/13 21:09:16:456',1,200.660126,339.895691,39.169163,0,50,?,?,?
24,'2017/02/13 21:09:16:565',1,202.408081,340.98761,37.634659,0,50,?,?,?
25,'2017/02/13 21:09:16:671',1,204.744888,344.937958,36.03196,0,50,?,?,?
26,'2017/02/13 21:09:16:857',1,212.467453,350.182587,32.881493,0,50,?,?,?
27,'2017/02/13 21:09:16:923',1,214.341522,350.748413,30.831074,0,50,?,?,?
28,'2017/02/13 21:09:17:024',1,213.994186,350.542847,30.265846,0,50,?,?,?
54,'2017/02/13 21:10:17:757',3,631.198364,283.628784,34.301365,0,80,?,?,?
55,'2017/02/13 21:10:17:824',3,633.965088,283.224121,34.899441,0,80,?,?,?
56,'2017/02/13 21:10:18:017',3,637.451294,286.578613,35.883202,0,80,?,?,?
57,'2017/02/13 21:10:18:107',3,638.922058,287.406586,36.073669,0,80,?,?,?
58,'2017/02/13 21:10:18:260',3,638.575989,287.361908,36.698448,0,80,?,?,?
59,'2017/02/13 21:10:18:307',3,638.560303,287.042236,36.91555,0,80,?,?,?
60,'2017/02/13 21:10:18:357',3,638.988403,285.659882,37.273014,0,80,?,?,?
61,'2017/02/13 21:10:18:440',3,640.234741,284.614258,37.888699,0,80,?,?,?
62,'2017/02/13 21:10:18:579',3,642.447388,284.335754,38.348679,0,80,?,?,?
63,'2017/02/13 21:10:18:646',3,643.005493,283.425293,38.700027,0,80,?,?,?
64,'2017/02/13 21:10:18:695',3,641.867065,284.325134,38.978996,0,80,?,?,?
